bait	tag	MD	CV	prg1_lfc	prg1_pv
dcap-1	B0024.4	26.204	12.6234304248233	NA	NA
dcap-2	B0024.4	24.196	6.85556969494293	NA	NA
gld4	B0024.4	22.942	10.359618165487	NA	NA
H40L08.1	B0025.4	27.234	5.2755483736313	NA	NA
Y54G11A.3	B0025.4	25.84	13.2050182841113	NA	NA
dcap-1	B0025.4	26.108	6.53123363672472	NA	NA
dcap-2	B0025.4	18.6	10.6037398752027	NA	NA
gld4	B0025.4	22.914	8.48905134629621	NA	NA
H40L08.1	B0025.5	12.728	15.7372736432451	NA	NA
Y54G11A.3	B0025.5	15.394	24.6065490032706	NA	NA
dcap-1	B0025.5	13.464	8.17290498588206	NA	NA
dcap-2	B0025.5	22.528	8.64036750156079	NA	NA
gld4	B0025.5	14.154	5.7418341553541	NA	NA
H40L08.1	B0034.1	13.8	25.1934335636887	NA	NA
Y54G11A.3	B0034.1	15.688	10.4845493316102	NA	NA
dcap-1	B0034.1	5.306	35.274501208708	NA	NA
dcap-2	B0034.1	10.804	16.5928167900102	NA	NA
gld4	B0034.1	15.964	7.14691698856738	NA	NA
H40L08.1	B0034.2	3.354	19.7733095816893	NA	NA
Y54G11A.3	B0034.2	17.796	23.3807195399099	NA	NA
dcap-1	B0034.2	14.188	8.1024375111319	NA	NA
dcap-2	B0034.2	20.326	3.13395962887142	NA	NA
gld4	B0034.2	19.804	11.4843650134563	NA	NA
H40L08.1	B0034.4	7.204	4.09271153642	NA	NA
Y54G11A.3	B0034.4	23.12	34.410382182516	NA	NA
dcap-1	B0034.4	4.798	34.6803280323541	NA	NA
dcap-2	B0034.4	18.902	8.35533703060993	NA	NA
gld4	B0034.4	23.534	12.5176724219747	NA	NA
H40L08.1	B0034.5	18.136	24.4233372304775	NA	NA
Y54G11A.3	B0034.5	21.066	6.29092920707154	NA	NA
dcap-1	B0034.5	17.166	6.3589203107828	NA	NA
dcap-2	B0034.5	10.444	16.6446756617095	NA	NA
gld4	B0034.5	19.156	6.58943287506478	NA	NA
H40L08.1	B0034.7	9.73	10.6030153949818	NA	NA
Y54G11A.3	B0034.7	12.458	4.77702549578972	NA	NA
dcap-1	B0034.7	10.82	15.2195414383419	NA	NA
dcap-2	B0034.7	7.438	9.74116879600619	NA	NA
gld4	B0034.7	19.666	2.82970097427972	NA	NA
H40L08.1	B0035.13	25.616	6.63168756508304	NA	NA
Y54G11A.3	B0035.13	25.348	7.74148813088486	NA	NA
dcap-1	B0035.13	21.502	24.0336217893794	NA	NA
dcap-2	B0035.13	17.482	18.4035458232588	NA	NA
gld4	B0035.13	26.088	8.28966276746138	NA	NA
H40L08.1	B0035.15	25.172	12.6530381490147	NA	NA
Y54G11A.3	B0035.15	24.328	3.71441396118277	NA	NA
dcap-1	B0035.15	29.2	7.57975824381726	NA	NA
dcap-2	B0035.15	26.872	5.6451353726703	NA	NA
gld4	B0035.15	21.17	16.775198949418	NA	NA
H40L08.1	B0035.18	25.054	6.07461076651111	NA	NA
Y54G11A.3	B0035.18	18.508	1.69418738683951	NA	NA
dcap-1	B0035.18	27.28	7.30438579366806	NA	NA
dcap-2	B0035.18	21.28	3.96216569515627	NA	NA
gld4	B0035.18	22.256	2.17874753758598	NA	NA
H40L08.1	B0035.21	13.668	9.79127358025168	NA	NA
Y54G11A.3	B0035.21	14.254	9.74339303278421	NA	NA
dcap-1	B0035.21	13.552	18.5852586662057	NA	NA
dcap-2	B0035.21	18.196	4.38222406449767	NA	NA
gld4	B0035.21	19.67	5.4882406597125	NA	NA
H40L08.1	B0035.22	7.066	4.54263891291128	NA	NA
Y54G11A.3	B0035.22	4.178	4.40818168816519	NA	NA
dcap-1	B0035.22	13.15	23.1477443563739	NA	NA
dcap-2	B0035.22	8.138	8.69780858492413	NA	NA
gld4	B0035.22	14.746	18.3237085556758	NA	NA
H40L08.1	B0035.3	26.132	11.9960500884008	0.13029057219759	0.265041126133919
Y54G11A.3	B0035.3	23.614	12.3229288787261	0.13029057219759	0.265041126133919
dcap-1	B0035.3	23.31	3.53749810215824	0.13029057219759	0.265041126133919
dcap-2	B0035.3	23.53	10.630979889817	0.13029057219759	0.265041126133919
gld4	B0035.3	16.09	10.7761524281554	0.13029057219759	0.265041126133919
H40L08.1	B0041.1	21.538	6.40420093397782	NA	NA
Y54G11A.3	B0041.1	21.45	14.7211609715044	NA	NA
dcap-1	B0041.1	19.348	10.5376050898355	NA	NA
dcap-2	B0041.1	13.44	10.6652160488555	NA	NA
gld4	B0041.1	22.268	17.3819951900588	NA	NA
H40L08.1	B0041.11	5.792	45.1984494458409	NA	NA
Y54G11A.3	B0041.11	10.16	2.95029424947281	NA	NA
dcap-1	B0041.11	9.03	8.02478228770424	NA	NA
dcap-2	B0041.11	18.364	6.98286762086184	NA	NA
gld4	B0041.11	18.508	5.33898674217402	NA	NA
H40L08.1	B0041.12	9.974	1.92672747281994	NA	NA
Y54G11A.3	B0041.12	14.606	1.92105071144033	NA	NA
dcap-1	B0041.12	13.794	17.7706343164233	NA	NA
dcap-2	B0041.12	12.228	5.80617331472934	NA	NA
gld4	B0041.12	21.572	7.482745268351	NA	NA
H40L08.1	B0041.5	11.858	25.4234882259911	NA	NA
Y54G11A.3	B0041.5	26.212	2.6614427500262	NA	NA
dcap-1	B0041.5	24.282	7.46052887416114	NA	NA
dcap-2	B0041.5	16.148	4.00195226209054	NA	NA
gld4	B0041.5	14.812	22.6810647505662	NA	NA
H40L08.1	B0041.8	27.784	5.71963872695105	NA	NA
Y54G11A.3	B0041.8	2.756	8.06707495125021	NA	NA
dcap-1	B0041.8	19.796	19.9650516241693	NA	NA
dcap-2	B0041.8	18.036	11.9732625125535	NA	NA
gld4	B0041.8	7.25	3.25528930240164	NA	NA
H40L08.1	B0198.2	11.444	11.0674788220917	NA	NA
Y54G11A.3	B0198.2	17.708	44.2939816187726	NA	NA
dcap-1	B0198.2	7.136	5.76990203693056	NA	NA
dcap-2	B0198.2	21.494	6.39722713247673	NA	NA
gld4	B0198.2	3.922	2.76029956200395	NA	NA
H40L08.1	B0198.3	15.112	42.0551176776246	NA	NA
Y54G11A.3	B0198.3	12.772	3.99939938105158	NA	NA
dcap-1	B0198.3	20.652	13.1620627687017	NA	NA
dcap-2	B0198.3	4.414	6.89886745426733	NA	NA
gld4	B0198.3	21.3	5.73337285408707	NA	NA
H40L08.1	B0205.1	20.178	11.3207925646022	NA	NA
